Name,Price,Link,Amenities,Long Term,Minimum Stay,City,Neighborhood,Location,Floor,Square Area,Bedrooms,Bathrooms,Security,Pool,Airconditioning,Parking,Balcony,Pets Allowed,Furnishing,Updated,Latitude,Longitude,Address,Province,Region,Rating,ReviewsCount,school,hospital,shopping_mall,supermarket,church,park,gym,restaurant,bank,pharmacy,police,subway_station,train_station,university,transit_station,bus_station
Semi Furnished Studio Unit at Residencia de Regina for Rent,12000,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-studio-unit-at-residencia-de-regina-for-rent/732f441133&cl=1&fl=1,24/7 Security; Swimming pool,"12,000 /Month",1 Year,Quezon City,Loyola Heights,Residencia de Regina,6,25,0,1,1,1,,,,,Semi Furnished,9-Sep-25,14.634146,121.072373,"94 Xavierville Ave, Quezon City, Metro Manila, Philippines",,Metro Manila,4.1,27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
FOR LEASE 1 BR Condo Unit at High Park Towers at Vertis North,58000,https://rentpad.com.ph/long-term-rentals/quezon-city/for-lease--1-br-condo-unit-at-high-park-towers-at-vertis-north/1b86846624&cl=1&fl=1,,"58,000 /Month",1 Year,Quezon City,Diliman,High Park Vertis,15,61,1,1,,,,,,,Fully Furnished,9-Sep-25,14.6484198,121.0382333,"Hydra, Bagong Pag-asa, Quezon City, Metro Manila, Philippines",,Metro Manila,4.4,44,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1BR Fully Furnished Unit at Trees Residences QC (available now),14000,https://rentpad.com.ph/long-term-rentals/quezon-city/1br-fully-furnished-unit-at-trees-residences-qc-available-now/e8f5af9452&cl=1&fl=1,Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool,"14,000 /Month",6 Months,Quezon City,Novaliches,Trees Residences,7,25,1,1,1,1,,,,,Fully Furnished,17-Mar-25,14.7090139,121.0356568,"P25P+J73, Quirino Hwy, BRGY, Quezon City, 1100 Metro Manila, Philippines",,Metro Manila,4.2,85,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Studio Unit in Studio A Katipunan,22000,https://rentpad.com.ph/long-term-rentals/quezon-city/studio-unit-in-studio-a-katipunan/92706ed58&cl=1&fl=1,Gym; Study Hall; 24/7 Security; Swimming pool,"22,000 /Month",1 Year,Quezon City,Loyola Heights,Studio A,27,28,0,1,1,1,,,,,Fully Furnished,29-Aug-25,14.6298269,121.0740555,"Katipunan Ave, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Unfurnished 2BR Condo Trees Residences near SM Fairview,18000,https://rentpad.com.ph/long-term-rentals/quezon-city/unfurnished-2br-condo-trees-residences-near-sm-fairview/b59318b28&cl=1&fl=1,Concierge; Jogging Trail; Gym; 24/7 Security; Swimming pool,"18,000 /Month",1 Year,Quezon City,Novaliches,Trees Residences,7,30,2,1,1,1,,,,,Unfurnished,29-Aug-25,14.7337226,121.0567401,"SM City Fairview Annex 2 Quirino Highway, Corner Regalado Hwy, Novaliches, Quezon City, 1118 Metro Manila, Philippines",,Metro Manila,4.2,37,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
3 Bedroom Townhouse for Rent in Quezon City,80000,https://rentpad.com.ph/long-term-rentals/quezon-city/3-bedroom-townhouse-for-rent-in-quezon-city/247d5bd590&cl=1&fl=1,Swimming pool; Parking; Balcony,"80,000 /Month",1 Year,Quezon City,Libis,Circulo Verde,,191,3,3,,1,,1,1,,Unfurnished,31-Jul-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1 Bedroom Apartment for Rent in Villa Verde Novaliches QC,10000,https://rentpad.com.ph/long-term-rentals/quezon-city/1-bedroom-apartment-for-rent-in-villa-verde-novaliches-qc/4ea41db251&cl=1&fl=1,,"10,000 /Month",1 Year,Quezon City,Novaliches,,,28,1,1,,,,,,,Unfurnished,13-Jul-25,14.7222653,121.0416905,"Villa Verde, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Semi Furnished 2 Bedroom Unit at The Arton for Rent,65000,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-2-bedroom-unit-at-the-arton-for-rent/a0c1bda819&cl=1&fl=1,,"65,000 /Month",1 Year,Quezon City,Loyola Heights,The Arton,21,73,2,6,,,,,,,Semi Furnished,9-Sep-25,14.6317311,121.0749915,"Aurora Blvd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Fully Furnished 1 Bedroom Unit at High Park Vertis for Rent,55000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-high-park-vertis-for-rent/9534e34594&cl=1&fl=1,Concierge; Gym; Play Room; 24/7 Security; Function Rooms; Swimming pool; Balcony; Storage Space,"55,000 /Month",1 Year,Quezon City,Diliman,High Park Vertis,33,61,1,1,1,1,1,,1,,Fully Furnished,31-Aug-25,14.6484198,121.0382333,"Hydra, Bagong Pag-asa, Quezon City, Metro Manila, Philippines",,Metro Manila,4.4,44,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Fully Furnished 1 Bedroom Unit at Avida Towers Astrea for Rent,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-avida-towers-astrea-for-rent/f2134d9a39&cl=1&fl=1,Concierge; Jogging Trail; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Balcony,"25,000 /Month",6 Months,Quezon City,Novaliches,Avida Towers Astrea,1,45.02,1,1,1,1,,,1,,Fully Furnished,5-Sep-25,14.7363847,121.063587,"P3P7+HC4, Quirino Hwy, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
